algorithm_name,graph_size,runtime_mean_sec,normalized_cost_mean
cluster_based,5000,0.0046559666128207665,0.7656000000000001
cluster_based,20000,0.0708343333099037,0.7664666666666666
cluster_based,50000,0.09332636650651689,0.7639866666666667
cluster_based,100000,0.29977450007572765,0.7648800000000001
cluster_based,200000,0.4312204667367041,0.7656216666666666
cost_aware_a02,5000,0.007234200059125733,0.0029333333333333334
cost_aware_a02,20000,0.09093679999932643,0.0007833333333333334
cost_aware_a02,50000,0.11142360007700818,0.0003066666666666667
cost_aware_a02,100000,0.2693632666487247,0.00015
cost_aware_a02,200000,0.926419633363063,7.333333333333333e-05
cost_aware_a05,5000,0.0096719332505017,0.0029333333333333334
cost_aware_a05,20000,0.11575359990820284,0.0007833333333333334
cost_aware_a05,50000,0.10183383338153357,0.0003066666666666667
cost_aware_a05,100000,0.29728739995819825,0.00015
cost_aware_a05,200000,0.8065874000700811,7.333333333333333e-05
cost_aware_a08,5000,0.0071960332958648,0.0029333333333333334
cost_aware_a08,20000,0.1235193999794622,0.0007833333333333334
cost_aware_a08,50000,0.09037840001595514,0.0003066666666666667
cost_aware_a08,100000,0.24978696671314538,0.00015
cost_aware_a08,200000,0.5546520665908853,7.333333333333333e-05
greedy,5000,0.004474933414409534,0.0048
greedy,20000,0.0664352333794037,0.0012833333333333334
greedy,50000,0.07205246660547947,0.00046666666666666666
greedy,100000,0.20094709998617563,0.00034333333333333335
greedy,200000,0.80096993339248,0.00010333333333333333
naive,5000,0.004326866784443433,0.0048
naive,20000,0.06396793333503104,0.0012833333333333334
naive,50000,0.06369860004633661,0.00046666666666666666
naive,100000,0.21250506668972466,0.00034333333333333335
naive,200000,1.0860790332468848,0.00010333333333333333
