algorithm_name,graph_size,meta_alpha,runtime_sec_mean,weighted_cost_mean,raw_cost_mean,normalized_cost_mean,relative_cost_mean
cluster_based,5000.0,,0.0046559666128207665,765.6,3828.0,0.7656000000000001,
cluster_based,20000.0,,0.0708343333099037,3065.866666666667,15329.333333333334,0.7664666666666666,
cluster_based,50000.0,,0.09332636650651689,7639.866666666666,38199.333333333336,0.7639866666666667,
cluster_based,100000.0,,0.29977450007572765,15297.6,76488.0,0.7648800000000001,
cluster_based,200000.0,,0.4312204667367041,30624.86666666667,153124.33333333334,0.7656216666666666,
cost_aware_a02,5000.0,0.2,0.007234200059125733,2.9333333333333336,14.666666666666666,0.0029333333333333334,
cost_aware_a02,20000.0,0.2,0.09093679999932643,3.133333333333333,15.666666666666666,0.0007833333333333334,
cost_aware_a02,50000.0,0.2,0.11142360007700818,3.0666666666666664,15.333333333333334,0.0003066666666666667,
cost_aware_a02,100000.0,0.2,0.2693632666487247,3.0,15.0,0.00015,
cost_aware_a02,200000.0,0.2,0.926419633363063,2.9333333333333336,14.666666666666666,7.333333333333333e-05,
cost_aware_a05,5000.0,0.5,0.0096719332505017,2.9333333333333336,14.666666666666666,0.0029333333333333334,
cost_aware_a05,20000.0,0.5,0.11575359990820284,3.133333333333333,15.666666666666666,0.0007833333333333334,
cost_aware_a05,50000.0,0.5,0.10183383338153357,3.0666666666666664,15.333333333333334,0.0003066666666666667,
cost_aware_a05,100000.0,0.5,0.29728739995819825,3.0,15.0,0.00015,
cost_aware_a05,200000.0,0.5,0.8065874000700811,2.9333333333333336,14.666666666666666,7.333333333333333e-05,
cost_aware_a08,5000.0,0.8,0.0071960332958648,2.9333333333333336,14.666666666666666,0.0029333333333333334,
cost_aware_a08,20000.0,0.8,0.1235193999794622,3.133333333333333,15.666666666666666,0.0007833333333333334,
cost_aware_a08,50000.0,0.8,0.09037840001595514,3.0666666666666664,15.333333333333334,0.0003066666666666667,
cost_aware_a08,100000.0,0.8,0.24978696671314538,3.0,15.0,0.00015,
cost_aware_a08,200000.0,0.8,0.5546520665908853,2.9333333333333336,14.666666666666666,7.333333333333333e-05,
greedy,5000.0,,0.004474933414409534,4.8,24.0,0.0048,
greedy,20000.0,,0.0664352333794037,5.133333333333334,25.666666666666668,0.0012833333333333334,
greedy,50000.0,,0.07205246660547947,4.666666666666667,23.333333333333332,0.00046666666666666666,
greedy,100000.0,,0.20094709998617563,6.866666666666667,34.333333333333336,0.00034333333333333335,
greedy,200000.0,,0.80096993339248,4.133333333333334,20.666666666666668,0.00010333333333333333,
naive,5000.0,,0.004326866784443433,4.8,24.0,0.0048,
naive,20000.0,,0.06396793333503104,5.133333333333334,25.666666666666668,0.0012833333333333334,
naive,50000.0,,0.06369860004633661,4.666666666666667,23.333333333333332,0.00046666666666666666,
naive,100000.0,,0.21250506668972466,6.866666666666667,34.333333333333336,0.00034333333333333335,
naive,200000.0,,1.0860790332468848,4.133333333333334,20.666666666666668,0.00010333333333333333,
